id,Public,Usage
625,0,Public
626,0,Public
627,1,Public
628,0,Public
629,1,Public
630,1,Public
631,1,Public
632,0,Public
633,0,Public
634,1,Public
635,0,Public
636,0,Public
637,0,Public
638,1,Public
639,1,Public
640,0,Public
641,1,Public
642,0,Public
643,1,Public
644,0,Public
645,1,Public
646,0,Public
647,0,Public
648,1,Public
649,1,Public
650,1,Public
651,1,Public
652,0,Public
653,0,Public
654,1,Public
655,1,Public
656,0,Public
657,1,Public
658,1,Public
659,0,Public
660,1,Public
661,1,Public
662,1,Public
663,1,Public
664,0,Public
665,1,Public
666,0,Public
667,0,Public
668,1,Public
669,1,Public
670,1,Public
671,0,Public
672,1,Public
673,0,Public
674,1,Public
675,0,Public
676,1,Public
677,0,Public
678,0,Public
679,1,Public
680,0,Public
681,1,Public
682,0,Public
683,1,Public
684,1,Public
685,1,Public
686,1,Public
687,1,Public
688,1,Public
689,1,Public
690,1,Public
691,0,Public
692,1,Public
693,0,Public
694,1,Public
695,1,Public
696,1,Public
697,1,Public
698,1,Public
699,0,Public
700,1,Public
701,1,Public
702,1,Public
703,1,Public
704,1,Public
705,1,Public
706,0,Public
707,1,Public
708,0,Public
709,1,Public
710,0,Public
711,0,Public
712,0,Public
713,0,Public
714,1,Public
715,1,Public
716,1,Public
717,1,Public
718,1,Public
719,0,Public
720,0,Public
721,1,Public
722,1,Public
723,0,Public
724,0,Public
725,1,Public
726,1,Public
727,0,Public
728,1,Public
729,0,Public
730,1,Public
731,1,Public
732,0,Public
733,1,Public
734,0,Public
735,0,Public
736,0,Public
737,1,Public
738,0,Public
739,1,Public
740,0,Public
741,0,Public
742,1,Public
743,0,Public
744,0,Public
745,1,Public
746,1,Public
747,1,Public
748,0,Public
749,1,Public
750,1,Public
751,0,Public
752,1,Public
753,0,Public
754,0,Public
755,1,Public
756,1,Public
757,0,Public
758,1,Public
759,1,Public
760,0,Public
761,0,Public
762,0,Public
763,1,Public
764,0,Public
765,0,Public
766,0,Public
767,1,Public
768,1,Public
769,1,Public
770,1,Public
771,1,Public
772,0,Public
773,0,Public
774,0,Public
775,0,Public
776,1,Public
777,0,Public
778,0,Public
779,0,Public
780,0,Public
781,1,Public
782,1,Public
783,1,Public
784,1,Public
785,0,Public
786,1,Public
787,0,Public
788,1,Public
789,0,Public
790,1,Public
791,1,Public
792,1,Public
793,1,Public
794,0,Public
795,0,Public
796,1,Public
797,1,Public
798,0,Public
799,0,Public
800,1,Public
801,1,Public
802,1,Public
803,0,Public
804,0,Public
805,0,Public
806,1,Public
807,0,Public
808,1,Public
809,1,Public
810,1,Public
811,0,Public
812,0,Public
813,1,Public
814,0,Public
815,0,Public
816,1,Public
817,1,Public
818,0,Public
819,1,Public
820,0,Public
821,0,Public
822,0,Public
823,0,Public
824,0,Public
825,1,Public
826,0,Public
827,0,Public
828,1,Public
829,0,Public
830,0,Public
831,0,Public
832,0,Public
833,1,Public
834,1,Public
835,0,Public
836,0,Public
837,1,Public
838,1,Public
839,0,Public
840,1,Public
841,1,Public
842,0,Public
843,0,Public
844,0,Public
845,0,Public
846,0,Public
847,1,Public
848,1,Public
849,0,Public
850,1,Public
851,0,Public
852,0,Public
853,0,Public
854,1,Public
855,0,Public
856,1,Public
857,1,Public
858,0,Public
859,1,Public
860,1,Public
861,1,Public
862,0,Public
863,0,Public
864,0,Public
865,0,Public
866,1,Public
867,0,Public
868,0,Public
869,1,Public
870,0,Public
871,1,Public
872,1,Public
873,0,Public
874,1,Public
875,0,Public
876,0,Public
877,1,Public
878,0,Public
879,0,Public
880,0,Public
881,0,Public
882,0,Public
883,0,Public
884,0,Public
885,1,Public
886,1,Public
887,1,Public
888,1,Public
889,0,Public
890,1,Public
891,0,Public
892,1,Public
893,0,Public
894,0,Public
895,0,Public
896,1,Public
897,0,Public
898,1,Public
899,1,Public
900,0,Public
901,1,Public
902,1,Public
903,0,Public
904,1,Public
905,0,Public
906,1,Public
907,1,Public
908,1,Public
909,0,Public
910,1,Public
911,0,Public
912,0,Public
913,0,Public
914,0,Public
915,1,Public
916,1,Public
917,1,Public
918,0,Public
919,0,Public
920,0,Public
921,1,Public
922,0,Public
923,0,Public
924,1,Public
925,0,Public
926,1,Public
927,0,Public
928,1,Public
929,1,Public
930,1,Public
931,1,Public
932,0,Public
933,1,Public
934,0,Public
935,1,Public
936,1,Public
937,1,Public
938,1,Public
939,1,Public
940,1,Public
941,0,Public
942,0,Public
943,1,Public
944,1,Public
945,1,Public
946,0,Public
947,1,Public
948,1,Public
949,1,Public
950,0,Public
951,1,Public
952,1,Public
953,1,Public
954,0,Public
955,0,Public
956,0,Public
957,0,Public
958,1,Public
959,0,Public
960,1,Public
961,0,Public
962,1,Public
963,0,Public
964,0,Public
965,0,Public
966,0,Public
967,1,Public
968,0,Public
969,0,Public
970,1,Public
971,1,Public
972,1,Public
973,1,Public
974,1,Public
975,0,Public
976,1,Public
977,1,Public
978,1,Public
979,0,Public
980,0,Public
981,0,Public
982,0,Public
983,0,Public
984,0,Public
985,0,Public
986,0,Public
987,1,Public
988,0,Public
989,0,Public
990,1,Public
991,1,Public
992,0,Public
993,0,Public
994,0,Public
995,0,Public
996,1,Public
997,1,Public
998,1,Public
999,1,Public
1000,0,Public
1001,1,Public
1002,1,Public
1003,0,Public
1004,0,Public
1005,0,Public
1006,1,Public
1007,1,Public
1008,1,Public
1009,0,Public
1010,1,Public
1011,0,Public
1012,0,Public
1013,0,Public
1014,0,Public
1015,1,Public
1016,0,Public
1017,0,Public
1018,0,Public
1019,0,Public
1020,0,Public
1021,1,Public
1022,1,Public
1023,0,Public
1024,1,Public
1025,0,Public
1026,0,Public
1027,1,Public
1028,0,Public
1029,0,Public
1030,1,Public
1031,0,Public
1032,0,Public
1033,0,Public
1034,1,Public
1035,1,Public
1036,1,Public
1037,0,Public
1038,0,Public
1039,1,Public
1040,0,Public
1041,0,Public
1042,1,Public
1043,0,Public
1044,0,Public
1045,0,Public
1046,1,Public
1047,1,Public
1048,0,Public
1049,1,Public
1050,1,Public
1051,0,Public
1052,1,Public
1053,1,Public
1054,1,Public
1055,1,Public
1056,0,Public
1057,0,Public
1058,0,Public
1059,1,Public
1060,0,Public
1061,0,Public
1062,1,Public
1063,0,Public
1064,1,Public
1065,1,Public
1066,1,Public
1067,0,Public
1068,0,Public
1069,0,Public
1070,1,Public
1071,1,Public
1072,1,Public
1073,1,Public
1074,1,Public
1075,1,Public
1076,0,Public
1077,1,Public
1078,0,Public
1079,0,Public
1080,1,Public
1081,1,Public
1082,1,Public
1083,0,Public
1084,1,Public
1085,0,Public
1086,1,Public
1087,1,Public
1088,0,Public
1089,0,Public
1090,0,Public
1091,0,Public
1092,1,Public
1093,0,Public
1094,1,Public
1095,0,Public
1096,1,Public
1097,1,Public
1098,0,Public
1099,0,Public
1100,0,Public
1101,0,Public
1102,1,Public
1103,0,Public
1104,0,Public
1105,0,Public
1106,1,Public
1107,0,Public
1108,1,Public
1109,0,Public
1110,0,Public
1111,0,Public
1112,0,Public
1113,1,Public
1114,1,Public
1115,1,Public
1116,1,Public
1117,1,Public
1118,0,Public
1119,0,Public
1120,0,Public
1121,0,Public
1122,1,Public
1123,0,Public
1124,0,Public
1125,1,Public
1126,0,Public
1127,1,Public
1128,1,Public
1129,1,Public
1130,0,Public
1131,1,Public
1132,0,Public
1133,1,Public
1134,1,Public
1135,0,Public
1136,0,Public
1137,1,Public
1138,1,Public
1139,1,Public
1140,1,Public
1141,1,Public
1142,1,Public
1143,0,Public
1144,1,Public
1145,1,Public
1146,1,Public
1147,1,Public
1148,1,Public
1149,1,Public
1150,1,Public
1151,1,Public
1152,1,Public
1153,1,Public
1154,0,Public
1155,1,Public
1156,1,Public
1157,0,Public
1158,1,Public
1159,1,Public
1160,0,Public
1161,1,Public
1162,0,Public
1163,0,Public
1164,1,Public
1165,0,Public
1166,1,Public
1167,1,Public
1168,0,Public
1169,1,Public
1170,0,Public
1171,0,Public
1172,1,Public
1173,1,Public
1174,1,Public
1175,0,Public
1176,0,Public
1177,1,Public
1178,1,Public
1179,1,Public
1180,1,Public
1181,1,Public
1182,0,Public
1183,0,Public
1184,1,Public
1185,1,Public
1186,0,Public
1187,1,Public
1188,1,Public
1189,0,Public
1190,1,Public
1191,1,Public
1192,0,Public
1193,0,Public
1194,1,Public
1195,0,Public
1196,0,Public
1197,0,Public
1198,1,Public
1199,1,Public
